task_id,perm_id,variance,avg_jaccard,num_tools
0,0,3.6400000000000006,0.39164021164021173,10
0,1,1.41,0.4155555555555556,10
0,2,2.29,0.22222222222222218,10
0,3,5.360000000000001,0.39555555555555555,10
0,4,2.4,0.5033333333333333,10
1,0,1.7600000000000002,0.4,10
1,1,0.6400000000000001,0.4888888888888889,10
1,2,0.9600000000000002,0.4666666666666667,10
1,3,0.8099999999999999,0.5037037037037037,10
1,4,0.89,0.3111111111111111,10
2,0,2.16,0.27370370370370367,10
2,1,0.8400000000000001,0.35185185185185186,10
2,2,1.4899999999999998,0.24613756613756613,10
2,3,3.09,0.2862962962962963,10
2,4,1.89,0.3,10
3,0,0.6400000000000002,0.6222222222222222,10
3,1,0.44000000000000006,0.4777777777777778,10
3,2,0.36000000000000004,0.8,10
3,3,0.36000000000000004,0.34444444444444444,10
3,4,0.8400000000000001,0.47407407407407404,10
4,0,34.03999999999999,0.14444444444444443,10
4,1,1.61,0.31,10
4,2,0.56,0.20740740740740737,10
4,3,0.25,0.3111111111111111,10
4,4,0.8100000000000002,0.3703703703703703,10
5,0,0.69,0.1925925925925926,10
5,1,0.44000000000000006,0.28888888888888886,10
5,2,1.1600000000000001,0.3611111111111111,10
5,3,1.2900000000000003,0.3333333333333333,10
5,4,0.5599999999999999,0.23333333333333334,10
6,0,2.25,0.3,10
6,1,1.56,0.25925925925925924,10
6,2,1.0900000000000003,0.2148148148148148,10
6,3,0.65,0.47407407407407415,10
6,4,1.0900000000000003,0.2740740740740741,10
7,0,1.24,0.1907407407407407,10
7,1,2.6900000000000004,0.302962962962963,10
7,2,1.05,0.2666666666666667,10
7,3,1.2900000000000003,0.4055555555555556,10
7,4,0.8399999999999999,0.5333333333333333,10
8,0,3.0900000000000003,0.40978835978835976,10
8,1,2.1599999999999997,0.43333333333333335,10
8,2,4.25,0.35462962962962963,10
8,3,1.8899999999999995,0.3533333333333333,10
8,4,2.49,0.35555555555555557,10
9,0,0.6400000000000001,0.6444444444444445,10
9,1,0.64,0.6444444444444445,10
9,2,0.8399999999999999,0.5333333333333333,10
9,3,0.8399999999999999,0.5333333333333333,10
9,4,0.8400000000000001,0.5333333333333333,10
10,0,0.8399999999999999,0.28148148148148144,10
10,1,0.96,0.35555555555555557,10
10,2,0.9600000000000002,0.35555555555555557,10
10,3,2.25,0.3999999999999999,10
10,4,0.8099999999999999,0.2296296296296296,10
11,0,1.44,0.18888888888888888,10
11,1,2.21,0.2818518518518518,10
11,2,0.8400000000000001,0.3981481481481481,10
11,3,1.0,0.3185185185185185,10
11,4,0.44000000000000006,0.455185185185185,10
